time;grid_x;grid_z;density
54,250;-2;-3;3,0000
54,250;-2;-2;3,0000
54,250;-2;-1;4,0000
54,250;-5;-1;1,0000
54,250;-4;-1;3,0000
54,250;-2;-4;1,0000
54,250;-3;-1;4,0000
54,250;-5;0;2,0000
54,250;-4;0;3,0000
54,250;-1;-4;1,0000
54,250;-3;0;3,0000
54,250;-1;-3;2,0000
54,250;-5;1;1,0000
54,250;-3;1;2,0000
54,250;-4;1;2,0000
54,250;-2;0;2,0000
54,250;-1;0;3,0000
54,250;-1;-1;3,0000
54,250;-1;-2;2,0000
54,250;1;2;1,0000
54,250;-1;2;1,0000
54,250;-1;1;3,0000
54,250;0;1;2,0000
54,250;0;0;2,0000
54,250;-2;1;2,0000
54,250;1;0;2,0000
54,250;1;3;1,0000
54,250;1;1;1,0000
54,250;2;1;1,0000
54,250;-1;3;1,0000
54,250;2;-1;1,0000
54,250;0;4;2,0000
54,250;0;3;1,0000
54,250;2;0;2,0000
54,250;3;2;1,0000
54,250;-1;4;1,0000
54,250;3;0;1,0000
54,250;5;0;1,0000
54,250;-1;5;1,0000
54,250;4;-1;1,0000
54,250;1;5;1,0000
54,250;4;1;1,0000
54,250;6;1;1,0000
54,250;1;6;1,0000
54,250;6;2;1,0000
54,250;-1;6;1,0000
54,250;6;0;1,0000
54,250;0;6;1,0000
56,250;-2;-3;4,0000
56,250;-2;-2;4,0000
56,250;-2;-1;3,0000
56,250;-5;-1;2,0000
56,250;-4;-1;4,0000
56,250;-2;-4;1,0000
56,250;-3;-1;4,0000
56,250;-3;0;3,0000
56,250;-4;0;2,0000
56,250;-5;0;1,0000
56,250;-5;1;1,0000
56,250;0;-1;1,0000
56,250;1;1;2,0000
56,250;-4;2;1,0000
56,250;-1;-4;1,0000
56,250;-4;1;2,0000
56,250;-1;-2;3,0000
56,250;-1;-1;4,0000
56,250;-2;0;2,0000
56,250;-1;0;4,0000
56,250;-3;1;1,0000
56,250;-2;1;1,0000
56,250;0;1;3,0000
56,250;-1;1;3,0000
56,250;0;2;2,0000
56,250;0;0;1,0000
56,250;2;0;1,0000
56,250;-1;2;1,0000
56,250;2;-1;1,0000
56,250;0;3;1,0000
56,250;2;1;2,0000
56,250;3;1;1,0000
56,250;1;4;1,0000
56,250;-1;4;1,0000
56,250;3;0;1,0000
56,250;0;4;1,0000
56,250;3;-1;1,0000
56,250;4;2;1,0000
56,250;-1;5;1,0000
56,250;5;1;1,0000
56,250;0;5;1,0000
56,250;5;-1;1,0000
56,250;5;0;1,0000
56,250;1;7;1,0000
56,250;6;1;1,0000
56,250;2;6;1,0000
56,250;6;-1;1,0000
58,260;-2;-4;2,0000
58,260;-2;-2;4,0000
58,260;-1;-2;2,0000
58,260;-4;-1;4,0000
58,260;-3;-1;4,0000
58,260;-2;-3;4,0000
58,260;-5;-1;2,0000
58,260;-2;-1;3,0000
58,260;-5;0;2,0000
58,260;0;-3;2,0000
58,260;-1;-4;1,0000
58,260;0;0;3,0000
58,260;-1;-3;2,0000
58,260;0;-5;1,0000
58,260;-1;-1;3,0000
58,260;-4;1;2,0000
58,260;-4;0;2,0000
58,260;-5;1;1,0000
58,260;0;-1;3,0000
58,260;-3;1;1,0000
58,260;-1;0;2,0000
58,260;-3;0;3,0000
58,260;-2;0;2,0000
58,260;0;1;3,0000
58,260;-1;1;2,0000
58,260;1;1;2,0000
58,260;1;2;1,0000
58,260;-1;2;1,0000
58,260;1;0;1,0000
58,260;0;2;2,0000
58,260;3;1;1,0000
58,260;2;-1;1,0000
58,260;2;0;1,0000
58,260;0;5;1,0000
58,260;4;1;1,0000
58,260;1;4;1,0000
58,260;4;-1;1,0000
58,260;1;5;1,0000
58,260;3;2;1,0000
58,260;4;0;1,0000
58,260;0;4;2,0000
58,260;4;2;1,0000
58,260;5;0;1,0000
58,260;5;-1;1,0000
58,260;-2;6;1,0000
58,260;6;0;1,0000
58,260;1;7;1,0000
58,260;5;2;1,0000
60,270;-2;-4;2,0000
60,270;-2;-2;5,0000
60,270;0;-5;1,0000
60,270;-4;-1;3,0000
60,270;-3;-1;3,0000
60,270;-2;-3;4,0000
60,270;-5;-1;1,0000
60,270;-1;-4;2,0000
60,270;-2;-1;4,0000
60,270;-1;0;3,0000
60,270;-1;-2;4,0000
60,270;0;-3;1,0000
60,270;0;-2;2,0000
60,270;-4;0;3,0000
60,270;-1;-1;3,0000
60,270;-5;1;1,0000
60,270;-3;1;1,0000
60,270;-4;1;1,0000
60,270;-2;0;1,0000
60,270;-2;1;3,0000
60,270;0;0;3,0000
60,270;-1;1;2,0000
60,270;-1;-3;1,0000
